article,num_coders,matched,unmatched,matched_number,total_selections,agree_percent
PMC2518490,2,8,0,4,4,1
PMC2529246,2,4,0,2,2,1
PMC2816832,2,3,0,1.5,1.5,1
PMC2978351,2,2,0,1,1,1
PMC3035800,2,30,0,15,15,1
PMC3049466,2,4,0,2,2,1
PMC3104442,2,2,0,1,1,1
PMC3193002,2,8,0,4,4,1
PMC3198286,2,6,0,3,3,1
PMC3203616,2,4,0,2,2,1
PMC3220261,2,2,0,1,1,1
PMC3278723,2,2,0,1,1,1
PMC3309518,2,14,0,7,7,1
PMC3337072,2,16,0,8,8,1
PMC3385584,2,5,0,2.5,2.5,1
PMC3389425,2,2,0,1,1,1
PMC3425424,2,2,0,1,1,1
PMC3467590,2,5,0,2.5,2.5,1
PMC3481138,2,4,0,2,2,1
PMC3529531,2,11,0,5.5,5.5,1
PMC3589787,2,10,0,5,5,1
PMC3619072,2,2,0,1,1,1
PMC3722356,2,6,0,3,3,1
PMC3773590,2,2,0,1,1,1
PMC3794438,2,2,0,1,1,1
PMC3808809,2,2,0,1,1,1
PMC3857483,2,6,0,3,3,1
PMC3859226,2,8,0,4,4,1
PMC3890939,2,6,0,3,3,1
PMC3894438,2,2,0,1,1,1
PMC4027884,2,10,0,5,5,1
PMC4057327,2,8,0,4,4,1
PMC4103605,2,16,0,8,8,1
PMC4163634,2,10,0,5,5,1
PMC4213703,2,2,0,1,1,1
PMC4230620,2,6,0,3,3,1
PMC4274470,2,2,0,1,1,1
PMC4366701,2,2,0,1,1,1
PMC4368859,2,2,0,1,1,1
PMC4389529,2,2,0,1,1,1
PMC4396969,2,2,0,1,1,1
PMC4401865,2,2,0,1,1,1
PMC4453642,2,2,0,1,1,1
PMC4553351,2,4,0,2,2,1
PMC4616535,2,2,0,1,1,1
PMC4651396,2,2,0,1,1,1
PMC4654549,2,2,0,1,1,1
PMC4683424,2,4,0,2,2,1
PMC4717961,2,4,0,2,2,1
PMC4718351,2,4,0,2,2,1
PMC4740966,2,4,0,2,2,1
PMC4832950,2,8,0,4,4,1
PMC4878562,2,2,0,1,1,1
PMC4888764,2,4,0,2,2,1
PMC4905837,2,4,0,2,2,1
PMC4926940,2,2,0,1,1,1
PMC4956186,2,2,0,1,1,1
PMC4959023,2,7,0,3.5,3.5,1
PMC4968915,2,2,0,1,1,1
PMC4998785,2,4,0,2,2,1
PMC5011596,2,4,0,2,2,1
PMC5013290,2,2,0,1,1,1
PMC5015293,2,2,0,1,1,1
PMC5016904,2,2,0,1,1,1
PMC5020575,2,2,0,1,1,1
PMC5039120,2,4,0,2,2,1
PMC5042035,2,2,0,1,1,1
PMC5061105,2,2,0,1,1,1
PMC5080194,2,4,0,2,2,1
PMC5091022,2,2,0,1,1,1
PMC5099213,2,2,0,1,1,1
PMC5109890,2,2,0,1,1,1
PMC5113931,2,4,0,2,2,1
PMC5132076,2,8,0,4,4,1
PMC5244966,2,4,0,2,2,1
PMC5293859,2,2,0,1,1,1
PMC5304233,2,2,0,1,1,1
PMC5339831,2,12,0,6,6,1
PMC5339929,2,2,0,1,1,1
PMC5372024,2,4,0,2,2,1
PMC5390613,2,21,0,10.5,10.5,1
PMC5478307,2,8,0,4,4,1
PMC1635254,2,16,2,8,10,0.8
PMC5238813,2,44,18,22,40,0.55
PMC3638180,2,4,2,2,4,0.5
PMC4674517,2,2,2,1,3,0.33
PMC4789845,2,4,4,2,6,0.33
PMC4162729,2,2,3,1,4,0.25
PMC1747177,1,0,24,0,24,0
PMC2529246,1,0,2,0,2,0
PMC2650971,1,0,3,0,3,0
PMC2703206,1,0,2,0,2,0
PMC2768165,1,0,1,0,1,0
PMC2958345,1,0,1,0,1,0
PMC2995975,1,0,1,0,1,0
PMC3013677,1,0,42,0,42,0
PMC3035800,1,0,31,0,31,0
PMC3049292,1,0,1,0,1,0
PMC3049466,1,0,1,0,1,0
PMC3064789,1,0,6,0,6,0
PMC3085624,1,0,1,0,1,0
PMC3104442,1,0,1,0,1,0
PMC3148455,1,0,1,0,1,0
PMC3202792,1,0,2,0,2,0
PMC3223056,1,0,17,0,17,0
PMC3251324,1,0,2,0,2,0
PMC3276086,1,0,2,0,2,0
PMC3278723,1,0,2,0,2,0
PMC3280600,1,0,1,0,1,0
PMC3309518,1,0,2,0,2,0
PMC3337072,1,0,2,0,2,0
PMC3341159,1,0,13,0,13,0
PMC3378868,1,0,4,0,4,0
PMC3408515,1,0,1,0,1,0
PMC3481138,1,0,1,0,1,0
PMC3505860,1,0,1,0,1,0
PMC3589787,1,0,9,0,9,0
PMC3595621,1,0,2,0,2,0
PMC3619072,1,0,1,0,1,0
PMC3630384,1,0,10,0,10,0
PMC3698303,1,0,1,0,1,0
PMC3717207,1,0,3,0,3,0
PMC3722356,1,0,3,0,3,0
PMC3769723,1,0,3,0,3,0
PMC3772259,1,0,1,0,1,0
PMC3890939,1,0,1,0,1,0
PMC3891859,1,0,2,0,2,0
PMC3913674,1,0,2,0,2,0
PMC3944355,1,0,1,0,1,0
PMC4057327,1,0,2,0,2,0
PMC4066774,1,0,10,0,10,0
PMC4103605,1,0,1,0,1,0
PMC4163634,1,0,1,0,1,0
PMC4201231,1,0,1,0,1,0
PMC4214970,1,0,2,0,2,0
PMC4230620,1,0,2,0,2,0
PMC4269546,1,0,6,0,6,0
PMC4280887,1,0,3,0,3,0
PMC4286759,1,0,1,0,1,0
PMC4295086,1,0,3,0,3,0
PMC4345638,1,0,1,0,1,0
PMC4354499,2,0,2,0,2,0
PMC4377530,1,0,1,0,1,0
PMC4389529,1,0,1,0,1,0
PMC4411514,1,0,2,0,2,0
PMC4436784,1,0,3,0,3,0
PMC4441238,1,0,1,0,1,0
PMC4453596,1,0,3,0,3,0
PMC4521673,1,0,1,0,1,0
PMC4531765,1,0,1,0,1,0
PMC4567233,1,0,1,0,1,0
PMC4634381,1,0,5,0,5,0
PMC4644012,1,0,5,0,5,0
PMC4651396,1,0,1,0,1,0
PMC4654549,1,0,1,0,1,0
PMC4666316,1,0,1,0,1,0
PMC4683424,1,0,1,0,1,0
PMC4718351,1,0,2,0,2,0
PMC4819867,1,0,6,0,6,0
PMC4843533,1,0,5,0,5,0
PMC4878562,1,0,2,0,2,0
PMC4894081,1,0,1,0,1,0
PMC4959023,1,0,1,0,1,0
PMC4968915,1,0,1,0,1,0
PMC4970531,1,0,1,0,1,0
PMC4998785,1,0,1,0,1,0
PMC5016904,1,0,1,0,1,0
PMC5045956,1,0,2,0,2,0
PMC5078571,1,0,9,0,9,0
PMC5080194,1,0,3,0,3,0
PMC5132076,1,0,18,0,18,0
PMC5143777,1,0,1,0,1,0
PMC5220168,1,0,7,0,7,0
PMC5271396,1,0,1,0,1,0
PMC5300027,1,0,2,0,2,0
PMC5300861,1,0,1,0,1,0
PMC5339831,1,0,2,0,2,0
PMC5384723,1,0,1,0,1,0
PMC5387955,1,0,1,0,1,0
PMC5390613,1,0,2,0,2,0
