software,cert,resp,subtype,type,id,version1,version2,publisher1,publisher2,url,article,article_set,mention_status
SPSS,1.0,#annotator0,used,software,a6cf542a09-software-0,18.0,NA,SPSS Inc,NA,NA,a6cf542a09,PMC,sw-ver-pub
SPSS,1.0,#annotator7,used,software,f90fafbe45-software-0,24,NA,SPSS Inc,NA,NA,f90fafbe45,PMC,sw-ver-pub
Scion Image,1.0,#annotator5,used,software,becd1c9f79-software-0,4.0.3.2,NA,NIH,NA,NA,becd1c9f79,PMC,sw-ver-pub
SAS,1.0,#annotator8,used,software,dc54f3b199-software-1,9.4,NA,SAS Institute,NA,NA,dc54f3b199,PMC,sw-ver-pub
PASW Statistics,1.0,#annotator12,used,software,b14056cec7-software-3,18.0.2,NA,SPSS Inc,NA,NA,b14056cec7,PMC,sw-ver-pub
GraphPad InStat,0.9,#annotator4,used,software,fa37f6a74d-software-0,3,NA,GraphPad Software Inc,NA,NA,fa37f6a74d,PMC,sw-ver-pub
R,1.0,#curator,used,software,b630f350e7-software-3,2.14.1,NA,R Development Core Team,NA,NA,b630f350e7,PMC,sw-ver-pub
SDS,1.0,#annotator7,used,software,ed506dd278-software-8,2.3,NA,Applied Biosystems,NA,NA,ed506dd278,PMC,sw-ver-pub
SAS,0.8,#annotator18,used,software,be755fd7e7-software-0,9.2,NA,SAS Institute Inc,NA,NA,be755fd7e7,PMC,sw-ver-pub
ImageJ,1.0,#annotator11,used,software,c91bab2cfc-software-2,1.45b,NA,National Institutes of Health,NA,NA,c91bab2cfc,PMC,sw-ver-pub
FlowJo,1.0,#annotator3,used,software,fecb93d216-software-1,8.8.4,NA,Tree Star,NA,NA,fecb93d216,PMC,sw-ver-pub
Office Excel,NA,#curator,NA,software,c8af433ee5-software-2,7.0,NA,Microsoft Corporation,NA,NA,c8af433ee5,PMC,sw-ver-pub
Dell Statistica data analysis software system,1.0,#annotator10,used,software,d0632d7364-software-0,13,NA,"Dell, Inc",NA,NA,d0632d7364,PMC,sw-ver-pub
