seed_percent,replication,num_seeds,expand_window,reached_in_window,reached_proportion
0.05,1,263,0,771,0.1531585220500596
0.05,1,263,1,908,0.18037346046881209
0.05,1,263,2,939,0.1865315852205006
0.05,1,263,3,972,0.19308700834326578
0.05,1,263,5,1012,0.20103297576479937
0.05,1,263,9,1088,0.21613031386571316
0.05,1,263,15,1118,0.22208978943186333
0.05,1,263,25,1118,0.22208978943186333
0.05,2,202,0,655,0.13011521652761224
0.05,2,202,1,942,0.1871275327771156
0.05,2,202,2,1076,0.2137465236392531
0.05,2,202,3,1155,0.22943980929678187
0.05,2,202,5,1195,0.23738577671831546
0.05,2,202,9,1221,0.24255065554231228
0.05,2,202,15,1224,0.2431466030989273
0.05,2,202,25,1225,0.24334525228446563
0.05,3,192,0,644,0.1279300754866905
0.05,3,192,1,843,0.16746126340882003
0.05,3,192,2,927,0.18414779499404052
0.05,3,192,3,984,0.19547079856972585
0.05,3,192,5,1036,0.2058005562177195
0.05,3,192,9,1115,0.22149384187524832
0.05,3,192,15,1141,0.22665872069924514
0.05,3,192,25,1141,0.22665872069924514
0.05,4,201,0,666,0.13230035756853398
0.05,4,201,1,869,0.17262614223281686
0.05,4,201,2,1011,0.20083432657926104
0.05,4,201,3,1115,0.22149384187524832
0.05,4,201,5,1185,0.23539928486293207
0.05,4,201,9,1280,0.2542709574890743
0.05,4,201,15,1314,0.26102502979737785
0.05,4,201,25,1314,0.26102502979737785
0.05,5,210,0,645,0.12812872467222886
0.05,5,210,1,770,0.15295987286452126
0.05,5,210,2,812,0.1613031386571315
0.05,5,210,3,832,0.1652761223678983
0.05,5,210,5,865,0.17183154549066348
0.05,5,210,9,878,0.1744139849026619
0.05,5,210,15,885,0.17580452920143028
0.05,5,210,25,887,0.17620182757250696
0.05,6,187,0,738,0.1466030989272944
0.05,6,187,1,972,0.19308700834326578
0.05,6,187,2,1059,0.21036948748510131
0.05,6,187,3,1119,0.22228843861740166
0.05,6,187,5,1179,0.23420738974970204
0.05,6,187,9,1217,0.2417560588001589
0.05,6,187,15,1231,0.24453714739769566
0.05,6,187,25,1231,0.24453714739769566
0.05,7,330,0,982,0.1950735001986492
0.05,7,330,1,1214,0.2411601112435439
0.05,7,330,2,1353,0.2687723480333731
0.05,7,330,3,1426,0.28327373857767185
0.05,7,330,5,1556,0.30909813269765596
0.05,7,330,9,1581,0.3140643623361144
0.05,7,330,15,1590,0.31585220500595945
0.05,7,330,25,1592,0.31624950337703617
0.05,8,190,0,664,0.1319030591974573
0.05,8,190,1,838,0.16646801748112833
0.05,8,190,2,910,0.18077075883988875
0.05,8,190,3,975,0.1936829558998808
0.05,8,190,5,1032,0.20500595947556616
0.05,8,190,9,1052,0.20897894318633295
0.05,8,190,15,1057,0.20997218911402463
0.05,8,190,25,1059,0.21036948748510131
0.05,9,275,0,711,0.14123957091775924
0.05,9,275,1,888,0.1764004767580453
0.05,9,275,2,932,0.18514104092173223
0.05,9,275,3,970,0.19268970997218912
0.05,9,275,5,1003,0.1992451330949543
0.05,9,275,9,1024,0.20341676599125944
0.05,9,275,15,1039,0.20639650377433452
0.05,9,275,25,1039,0.20639650377433452
0.05,10,312,0,790,0.15693285657528805
0.05,10,312,1,1016,0.2018275725069527
0.05,10,312,2,1130,0.2244735796583234
0.05,10,312,3,1218,0.24195470798569726
0.05,10,312,5,1341,0.266388557806913
0.05,10,312,9,1372,0.2725466825586015
0.05,10,312,15,1381,0.2743345252284466
0.05,10,312,25,1383,0.27473182359952325
0.05,11,208,0,699,0.13885578069129917
0.05,11,208,1,901,0.1789829161700437
0.05,11,208,2,987,0.19606674612634087
0.05,11,208,3,1057,0.20997218911402463
0.05,11,208,5,1180,0.23440603893524037
0.05,11,208,9,1254,0.24910607866507747
0.05,11,208,15,1271,0.25248311481922925
0.05,11,208,25,1279,0.25407230830353594
0.05,12,183,0,601,0.11938816050854191
0.05,12,183,1,808,0.16050854191497815
0.05,12,183,2,915,0.18176400476758045
0.05,12,183,3,972,0.19308700834326578
0.05,12,183,5,1021,0.20282081843464442
0.05,12,183,9,1046,0.2077870480731029
0.05,12,183,15,1048,0.20818434644417957
0.05,12,183,25,1049,0.20838299562971793
0.05,13,325,0,862,0.17123559793404847
0.05,13,325,1,1089,0.2163289630512515
0.05,13,325,2,1192,0.23678982916170044
0.05,13,325,3,1261,0.25049662296384584
0.05,13,325,5,1376,0.27334127930075486
0.05,13,325,9,1424,0.28287644020659514
0.05,13,325,15,1446,0.2872467222884386
0.05,13,325,25,1446,0.2872467222884386
0.05,14,342,0,919,0.1825586015097338
0.05,14,342,1,1075,0.21354787445371473
0.05,14,342,2,1120,0.22248708780294002
0.05,14,342,3,1140,0.22646007151370678
0.05,14,342,5,1179,0.23420738974970204
0.05,14,342,9,1204,0.2391736193881605
0.05,14,342,15,1211,0.24056416368692887
0.05,14,342,25,1211,0.24056416368692887
0.05,15,174,0,519,0.1030989272943981
0.05,15,174,1,743,0.1475963448549861
0.05,15,174,2,858,0.17044100119189512
