seed_percent,replication,num_seeds_used,num_seeds_found,expand_window,reached_in_window,reached_proportion
0.05,1,582,25,0,83,0.016461721539071796
0.05,1,582,25,1,127,0.025188417294724316
0.05,1,582,25,2,154,0.030543435144783818
0.05,1,582,25,3,166,0.03292344307814359
0.05,1,582,25,5,167,0.033121777072590244
0.05,1,582,25,9,171,0.03391511305037683
0.05,1,582,25,15,171,0.03391511305037683
0.05,1,582,25,25,171,0.03391511305037683
0.05,2,582,18,0,83,0.016461721539071796
0.05,2,582,18,1,98,0.01943673145577152
0.05,2,582,18,2,106,0.021023403411344704
0.05,2,582,18,3,107,0.021221737405791353
0.05,2,582,18,5,107,0.021221737405791353
0.05,2,582,18,9,107,0.021221737405791353
0.05,2,582,18,15,107,0.021221737405791353
0.05,2,582,18,25,107,0.021221737405791353
0.05,3,582,38,0,181,0.035898452994843316
0.05,3,582,38,1,206,0.04085680285600952
0.05,3,582,38,2,209,0.04145180483934947
0.05,3,582,38,3,213,0.042245140817136054
0.05,3,582,38,5,214,0.042443474811582706
0.05,3,582,38,9,219,0.043435144783815945
0.05,3,582,38,15,219,0.043435144783815945
0.05,3,582,38,25,219,0.043435144783815945
0.05,4,582,10,0,34,0.006743355811186037
0.05,4,582,10,1,49,0.00971836572788576
0.05,4,582,10,2,50,0.009916699722332408
0.05,4,582,10,3,51,0.010115033716779055
0.05,4,582,10,5,54,0.010710035700119
0.05,4,582,10,9,58,0.011503371677905593
0.05,4,582,10,15,58,0.011503371677905593
0.05,4,582,10,25,58,0.011503371677905593
0.05,5,582,29,0,84,0.016660055533518445
0.05,5,582,29,1,134,0.02657675525585085
0.05,5,582,29,2,149,0.029551765172550575
0.05,5,582,29,3,155,0.030741769139230463
0.05,5,582,29,5,190,0.03768345894486315
0.05,5,582,29,9,196,0.03887346291154304
0.05,5,582,29,15,197,0.039071796905989685
0.05,5,582,29,25,198,0.03927013090043634
0.05,6,582,18,0,56,0.011106703689012296
0.05,6,582,18,1,77,0.015271717572391909
0.05,6,582,18,2,83,0.016461721539071796
0.05,6,582,18,3,86,0.01705672352241174
0.05,6,582,18,5,89,0.017651725505751687
0.05,6,582,18,9,90,0.017850059500198336
0.05,6,582,18,15,90,0.017850059500198336
0.05,6,582,18,25,90,0.017850059500198336
0.05,7,582,13,0,37,0.007338357794525982
0.05,7,582,13,1,39,0.007735025783419278
0.05,7,582,13,2,39,0.007735025783419278
0.05,7,582,13,3,39,0.007735025783419278
0.05,7,582,13,5,42,0.008330027766759222
0.05,7,582,13,9,46,0.009123363744545815
0.05,7,582,13,15,46,0.009123363744545815
0.05,7,582,13,25,46,0.009123363744545815
0.05,8,582,19,0,67,0.013288377627925426
