id,origin,DOI,PMID,PMCID
a7f72b2925,PMC4750616,10.1016/j.ejro.2015.07.002,26937444,PMC4750616
b991b33626,PMC5103916,10.3892/ol.2016.5112,27899977,PMC5103916
f204e3a468,PMC4153526,,,PMC4153526
c42bf3e060,PMC5463043,10.14348/molcells.2017.0013,28535662,PMC5463043
b5468afb2a,PMC3365791,10.1258/shorts.2012.012009,22666531,PMC3365791
c212845b5e,PMC2886355,10.1083/jcb.200910006,20548101,PMC2886355
baf5cdbe1b,PMC4566509,10.3347/kjp.2015.53.4.477,26323847,PMC4566509
fd7ff3179b,PMC5045956,10.15171/jcs.2016.024,27752488,PMC5045956
fbb52e94ae,PMC3245093,10.1093/nar/gkr1195,22144683,PMC3245093
b849d710eb,PMC3792603,10.3346/jkms.2013.28.10.1482,24133353,PMC3792603
a32ca4af9a,PMC5262502,10.1016/j.jbo.2017.01.001,28138422,PMC5262502
f63e70cf27,PMC5015294,10.1161/jaha.116.003754,27491837,PMC5015294
c7b06cd0b4,10.20955%2Fr%2F2018.1-16,10.20955/r.2018.1-16,,
ec09b2396e,PMC3236159,10.5811/westjem.2011.3.2023,22224132,PMC3236159
cf8b3f85a1,PMC4039861,10.1136/bmjopen-2014-005251,24860003,PMC4039861
ea10e3db27,PMC3501353,10.1084/jem.20121090,23148237,PMC3501353
e72ee93b53,PMC3058730,10.1093/cvr/cvq355,21071431,PMC3058730
ae9d06dd39,PMC4004741,10.1128/jmbe.v15i1.645,24839517,PMC4004741
c3a7c1dbb6,PMC4027853,10.2147/ott.s62781,24868166,PMC4027853
a8bba27005,PMC3351152,10.1093/nar/gkr1282,22238376,PMC3351152
a78e8e24e9,PMC4632117,10.1097/fjc.0000000000000296,26230396,PMC4632117
cea440e5c0,PMC3366639,10.1038/ncomms1451,21847111,PMC3366639
ff662b3db5,PMC3778302,10.1038/bjc.2013.451,23922104,PMC3778302
bc4e8ade50,PMC4472590,10.4184/asj.2015.9.3.416,26097657,PMC4472590
ebbcac31d1,10.1257%2Fjep.4.1.99,10.1257/jep.4.1.99,,
afe5da2424,PMC3902349,10.1136/bmjopen-2013-003883,24441051,PMC3902349
a0b67bad19,PMC4929210,10.1016/j.pmedr.2016.01.006,27419016,PMC4929210
a3970a91b9,PMC5147514,10.3233/jad-160912,27716675,PMC5147514
c0c3dcac8f,10.3846%2F1648-0627.2009.10.107-117,10.3846/1648-0627.2009.10.107-117,,
c71d563c09,PMC5329788,10.1515/med-2016-0001,28352757,PMC5329788
b74d247782,PMC3373399,10.1083/jcb.201110132,22665518,PMC3373399
fb8b66f174,PMC2248739,10.1093/nar/gkm915,17981840,PMC2248739
cd1735f504,PMC3768955,10.1590/s1517-83822012000100019,,PMC3768955
d85f7c7dac,10.1111%2Fobes.12195,10.1111/obes.12195,,
d3044a8f57,10.1111%2Fjors.12298,10.1111/jors.12298,,
e6e551dd94,PMC2958506,10.3342/ceo.2010.3.3.147,20978543,PMC2958506
a5b9a66fd0,PMC3328383,10.1083/jcb.201112083,22508510,PMC3328383
ddcd1e963e,PMC3251324,10.3767/003158511x603719,22403474,PMC3251324
ff58f4715c,PMC5329793,10.1515/med-2016-0006,28352762,PMC5329793
afde5d0ebd,PMC2729960,,,PMC2729960
dc7572678c,PMC4989302,10.1038/ismej.2016.10,26859769,PMC4989302
c3c5ddfd38,PMC2741607,10.2174/1874357900903010060,19750125,PMC2741607
d8a6c157bc,PMC4939487,10.3904/kjim.2013.019,27079327,PMC4939487
ae7c735e68,PMC5235341,10.1016/j.jcmgh.2016.09.009,28090569,PMC5235341
ec62815cfc,PMC2911847,10.1093/database/baq012,20627862,PMC2911847
e7da55478a,PMC3822109,10.1136/amiajnl-2012-001414,23715803,PMC3822109
f6dfe14166,PMC3694184,10.4142/jvs.2013.14.2.135,23814470,PMC3694184
d340235773,PMC4894081,10.5812/ircmj.29649,27274399,PMC4894081
bf6be9f60d,PMC4724760,,,PMC4724760
b8da0426e6,10.1257%2Faer.20150897,10.1257/aer.20150897,,
ad8a4b6e9b,PMC3351187,10.1093/nar/gkr1287,22210896,PMC3351187
bea720089d,PMC4541654,10.3349/ymj.2015.56.5.1251,26256967,PMC4541654
a35351872a,PMC4863732,10.1002/jcsm.12058,27493865,PMC4863732
ad3486a8e5,PMC3994435,10.1038/srep04731,24751687,PMC3994435
d81b741955,PMC4852604,10.13004/kjnt.2014.10.2.106,27169043,PMC4852604
c1b84c35e7,PMC3044586,10.1590/s1807-59322011000100019,21437445,PMC3044586
ed4b1bae6f,PMC5098051,10.5812/asjsm.33125,27826397,PMC5098051
f5a4474f0e,PMC4921791,10.1016/j.molmet.2016.04.006,27408778,PMC4921791
dfe1bb51a4,PMC4537151,10.13063/2327-9214.1165,26290892,PMC4537151
dca4836260,PMC4667234,10.17795/ijcp-3446,26634106,PMC4667234
f54c3f1358,PMC4027805,,,PMC4027805
d4b4a2bce1,PMC4985394,10.1097/md.0000000000001814,26512580,PMC4985394
bb06b5e875,PMC4478705,10.1038/ismej.2014.254,25575307,PMC4478705
e4ab54fee2,PMC4763990,10.1016/j.dcn.2015.12.003,26760457,PMC4763990
ef493a3a5d,PMC4985391,10.1097/md.0000000000001809,26512577,PMC4985391
daabbbe518,PMC3230829,10.1136/gut.2011.238386,21708822,PMC3230829
acb2a2ef64,PMC3252618,10.1136/sti.2009.038547,20167740,PMC3252618
f3da8311a5,PMC4812167,10.3892/ol.2016.4315,27073554,PMC4812167
e3cb41cfb0,PMC3259236,10.5051/jpis.2011.41.6.279,22324005,PMC3259236
e681a98887,PMC4633460,,,PMC4633460
d9f1f21c30,PMC5327171,10.3341/kjo.2017.31.1.25,28243020,PMC5327171
f82ef5e24c,10.20955%2Fr.2018.1-16,10.20955/r.2018.1-16,,
e237164e2b,PMC4213703,10.5713/ajas.2014.14233,25358318,PMC4213703
abbc5d88cf,PMC5367605,10.1302/2058-5241.1.000009,28461942,PMC5367605
f58b0e7fb0,PMC4221315,10.6061/clinics/2014(10)10,25518024,PMC4221315
e61b8f0b82,PMC3604266,10.3342/ceo.2013.6.1.23,23526177,PMC3604266
a70423884d,10.1080%2F17421772.2011.647058,10.1080/17421772.2011.647058,,
be9ce233f3,PMC4401356,10.2147/opth.s79843,25914520,PMC4401356
db4d84a262,PMC4505995,10.5812/ijp.25(3)2015.809,26199713,PMC4505995
a628056558,PMC4283627,10.1136/vr.102739,25331973,PMC4283627
b49b10600b,PMC5221592,10.1091/mbc.E16-06-0404),,PMC5221592
d5d89d8d6e,10.1080%2F00036846.2016.1218430,10.1080/00036846.2016.1218430,,
a4b9899206,PMC3702283,10.1038/cddis.2013.198,23788036,PMC3702283
