article_id,article_title
10.1007%2Fs11558-011-9108-7,The United States Congress and IMF financing, 1944�2009
10.1023%2Fa%3A1017368911423,ERRATUM
10.1111%2Fj.1467-9787.2006.00469,ERRATA
10.1111%2Fj.1468-0270.2011.02115,The New Paternalism - Unravelling 'Nudge'
10.1111%2Fj.1468-0270.2012.02120,Does Foreign Aid Make the Poor Poorer?
10.1111%2Fj.1468-0270.2012.02191,What is Austerity?
10.1111%2Fj.1468-0297.2010.02386,ERRATA
10.1162%2Fqjec.121.4.1383,MIT Press Journals 2018 catalog
10.1162%2Fqjec.2005.120.1.131,MIT Press Journals 2018 catalog
10.1162%2Fqjec.2005.120.1.273,MIT Press Journals 2018 catalog
10.1162%2Fqjec.2005.120.1.345,MIT Press Journals 2018 catalog
10.1162%2Fqjec.2005.120.1.87,MIT Press Journals 2018 catalog
10.1162%2Fqjec.2006.121.1.289,MIT Press Journals 2018 catalog
10.1257%2F000282805774669772,Involving Undergraduates in Research To Encourage Them To Undertake Ph.D. Study in Economics
10.3846%2Fbtp.2016.534,AN EVALUATION OF TOTAL PROJECT RISK BASED ON FUZZY LOGIC
PMC2628045,A Comparison of AmBisome to Amphotericin B for Treatment of Systemic Candidiasis in Very Low Birth Weight Infants
PMC2687629,Plasma Level of IL-6 and Its Relationship to Procoagulant and Fibrinolytic Markers in Acute Ischemic Stroke
PMC2729960,Reliability and Validity of the Severe Impairment Battery (SIB) in Korean Dementia Patients
PMC2808573,Effects of Particulate Matter (PM10) on The Pulmonary Function of Middle-School Children
PMC2808580,The Relation Between Hypoalbuminemia and Compliance and Intima-media Thickness of Carotid Artery in Continuous Ambulatory Peritoneal Dialysis Patients
PMC2872893,Effect of intrathecal glycine and related amino acids on the allodynia and hyperalgesic action of strychnine or bicuculline in mice
PMC2967174,PSYCHOTROPIC DRUG SALES IN WARANGAL
PMC2978481,HYPOCHONDRIASIS AND ILLNESS BEHAVIOR
PMC3148775,Malignant Transformation and Stromal Invasion from Normal or Hyperplastic Tissues: True or False?
PMC3181787,Sex-dependent modulation of treatment response
PMC3181878,Sadness as an integral part of depression
PMC3276790,Scaly Ear Rash as the Herald of a Young Girl with Juvenile Systemic Lupus Erythematosus
PMC3330856,Antibacterial activity of Aegle marmelos against leaf, bark and fruit extracts
PMC3448108,The first phage electron micrographs
PMC3463497,Mining the human gut microbiome for novel stress resistance genes
