article,article_set,coder,no_selections_found,codable,standard_article
PMC3064792,pmc_article,courtneybroderick,TRUE,NA,NA
PMC3064792,pmc_article,jackchristen,TRUE,NA,NA
PMC3475340,pmc_article,courtneybroderick,TRUE,NA,NA
PMC3475340,pmc_article,jaskiratsingh23,TRUE,NA,NA
10.1002%2F%28sici%291520-6688%28200024%2919%3A1%3C186%3A%3Aaid-pam21%3E3.0.co%3B2-l,econ_article,evelynkue,TRUE,TRUE,FALSE
10.1002%2Fijfe.1565,econ_article,mrcyndns,TRUE,TRUE,TRUE
10.1002%2Fijfe.1565,econ_article,tonyli0409,TRUE,TRUE,TRUE
10.1002%2Fijfe.1570,econ_article,realrichardparker,FALSE,TRUE,NA
10.1002%2Fijfe.1599,econ_article,tonyli0409,TRUE,TRUE,TRUE
10.1002%2Fijfe.1604,econ_article,tonyli0409,FALSE,TRUE,TRUE
10.1002%2Fijfe.264,econ_article,ankimnguyen,TRUE,TRUE,TRUE
10.1002%2Fpam.1018,econ_article,ankimnguyen,TRUE,TRUE,FALSE
10.1002%2Fpam.20227,econ_article,ankimnguyen,TRUE,TRUE,TRUE
10.1002%2Fpam.20250,econ_article,mprabhudesai,TRUE,TRUE,TRUE
10.1002%2Fpam.20304,econ_article,tonyli0409,TRUE,TRUE,TRUE
10.1002%2Fpam.20309,econ_article,ankimnguyen,TRUE,TRUE,TRUE
10.1002%2Fpam.20310,econ_article,tonyli0409,TRUE,TRUE,TRUE
10.1002%2Fpam.20311,econ_article,jackchristen,TRUE,TRUE,TRUE
10.1002%2Fpam.20311,econ_article,tonyli0409,TRUE,TRUE,TRUE
10.1002%2Fpam.20313,econ_article,mprabhudesai,TRUE,TRUE,TRUE
10.1002%2Fpam.20314,econ_article,tonyli0409,TRUE,TRUE,TRUE
10.1002%2Fpam.20316,econ_article,tonyli0409,TRUE,TRUE,FALSE
10.1002%2Fpam.20317,econ_article,slungu99,TRUE,TRUE,TRUE
10.1002%2Fpam.20318,econ_article,tonyli0409,TRUE,TRUE,TRUE
10.1002%2Fpam.20356,econ_article,tonyli0409,TRUE,TRUE,TRUE
10.1002%2Fpam.20445,econ_article,ankimnguyen,TRUE,TRUE,TRUE
10.1002%2Fpam.20557,econ_article,tonyli0409,TRUE,TRUE,FALSE
10.1002%2Fpam.21841,econ_article,ankimnguyen,TRUE,TRUE,TRUE
10.1002%2Fpam.21957,econ_article,tonyli0409,TRUE,TRUE,TRUE
10.1002%2Fpam.21962,econ_article,slungu99,FALSE,TRUE,TRUE
10.1002%2Fpam.21967,econ_article,tonyli0409,TRUE,NA,NA
10.1002%2Fpam.21967,econ_article,henryrossiter,TRUE,NA,NA
10.1002%2Fpam.22026,econ_article,evelynkue,TRUE,TRUE,FALSE
10.1002%2Fpam.22030,econ_article,tonyli0409,TRUE,TRUE,TRUE
10.1002%2Fpam.22030,econ_article,slungu99,FALSE,TRUE,TRUE
10.1002%2Fpam.22032,econ_article,mrcyndns,TRUE,TRUE,TRUE
10.1002%2Fpam.22032,econ_article,tonyli0409,FALSE,TRUE,TRUE
10.1002%2Fpam.22038,econ_article,jackchristen,FALSE,TRUE,TRUE
10.1002%2Fpam.22038,econ_article,tonyli0409,FALSE,TRUE,TRUE
10.1002%2Fpam.22042,econ_article,caifand,TRUE,TRUE,FALSE
10.1002%2Fpam.4050060127,econ_article,tonyli0409,TRUE,TRUE,FALSE
10.1002%2Fsoej.12076,econ_article,evelynkue,TRUE,TRUE,FALSE
10.1002%2Fsoej.12180,econ_article,mrcyndns,FALSE,TRUE,TRUE
10.1002%2Fsoej.12184,econ_article,tonyli0409,TRUE,TRUE,TRUE
10.1002%2Fsoej.12193,econ_article,slungu99,TRUE,TRUE,TRUE
10.1002%2Fsoej.12197,econ_article,tonyli0409,TRUE,TRUE,FALSE
