selection,coder,code,was_code_present,code_label
10.1002%2Fijfe.1570_TZ01,RealRichardParker,url,FALSE,NA
10.1002%2Fijfe.1570_TZ01,RealRichardParker,version_number,FALSE,NA
10.1002%2Fijfe.1570_TZ01,RealRichardParker,version_date,FALSE,NA
10.1002%2Fijfe.1570_TZ01,RealRichardParker,software_name,FALSE,NA
10.1002%2Fijfe.1570_TZ01,RealRichardParker,software_was_used,TRUE,NA
10.1002%2Fijfe.1570_TZ01,RealRichardParker,creator,TRUE,Salford Systems
10.1002%2Fijfe.1570_TZ02,RealRichardParker,creator,FALSE,NA
10.1002%2Fijfe.1570_TZ02,RealRichardParker,url,FALSE,NA
10.1002%2Fijfe.1570_TZ02,RealRichardParker,version_number,FALSE,NA
10.1002%2Fijfe.1570_TZ02,RealRichardParker,software_was_used,TRUE,NA
10.1002%2Fijfe.1570_TZ02,RealRichardParker,version_date,FALSE,NA
10.1002%2Fijfe.1570_TZ02,RealRichardParker,software_name,TRUE,R
10.1002%2Fijfe.1604_TL01,tonyli0409,software_name,FALSE,NA
10.1002%2Fijfe.1604_TL01,tonyli0409,version_date,TRUE,2006
10.1002%2Fijfe.1604_TL01,tonyli0409,creator,TRUE,Roodman
10.1002%2Fijfe.1604_TL01,tonyli0409,url,FALSE,NA
10.1002%2Fijfe.1604_TL01,tonyli0409,version_number,FALSE,NA
10.1002%2Fijfe.1604_TL01,tonyli0409,software_was_used,TRUE,NA
10.1002%2Fpam.21962_SL01,slungu99,creator,FALSE,NA
10.1002%2Fpam.21962_SL01,slungu99,software_name,TRUE,Stata
10.1002%2Fpam.21962_SL01,slungu99,software_was_used,TRUE,NA
10.1002%2Fpam.21962_SL01,slungu99,version_date,FALSE,NA
10.1002%2Fpam.21962_SL01,slungu99,url,FALSE,NA
10.1002%2Fpam.21962_SL01,slungu99,version_number,FALSE,NA
10.1002%2Fpam.22030_SL01,slungu99,url,FALSE,NA
10.1002%2Fpam.22030_SL01,slungu99,version_date,FALSE,NA
10.1002%2Fpam.22030_SL01,slungu99,version_number,TRUE,Version 5.0
10.1002%2Fpam.22030_SL01,slungu99,creator,FALSE,NA
10.1002%2Fpam.22030_SL01,slungu99,software_name,TRUE,IPUMS
10.1002%2Fpam.22030_SL01,slungu99,software_was_used,TRUE,NA
10.1002%2Fpam.22032_TL01,tonyli0409,version_number,FALSE,NA
10.1002%2Fpam.22032_TL01,tonyli0409,software_name,FALSE,NA
10.1002%2Fpam.22032_TL01,tonyli0409,url,TRUE,http://onlinelibrary.wiley.com
10.1002%2Fpam.22032_TL01,tonyli0409,software_was_used,FALSE,NA
10.1002%2Fpam.22032_TL01,tonyli0409,version_date,FALSE,NA
10.1002%2Fpam.22032_TL01,tonyli0409,creator,FALSE,NA
10.1002%2Fpam.22032_TL02,tonyli0409,url,TRUE,http://onlinelibrary.wiley.com
10.1002%2Fpam.22032_TL02,tonyli0409,version_number,FALSE,NA
10.1002%2Fpam.22032_TL02,tonyli0409,version_date,FALSE,NA
10.1002%2Fpam.22032_TL02,tonyli0409,creator,FALSE,NA
10.1002%2Fpam.22032_TL02,tonyli0409,software_was_used,FALSE,NA
10.1002%2Fpam.22032_TL02,tonyli0409,software_name,FALSE,NA
10.1002%2Fpam.22032_TL03,tonyli0409,software_name,FALSE,NA
10.1002%2Fpam.22032_TL03,tonyli0409,creator,FALSE,NA
10.1002%2Fpam.22032_TL03,tonyli0409,url,TRUE,http://onlinelibrary.wiley.com
10.1002%2Fpam.22032_TL03,tonyli0409,software_was_used,FALSE,NA
10.1002%2Fpam.22032_TL03,tonyli0409,version_date,FALSE,NA
10.1002%2Fpam.22032_TL03,tonyli0409,version_number,FALSE,NA
10.1002%2Fpam.22032_TL04,tonyli0409,software_was_used,FALSE,NA
10.1002%2Fpam.22032_TL04,tonyli0409,creator,FALSE,NA
10.1002%2Fpam.22032_TL04,tonyli0409,version_number,FALSE,NA
10.1002%2Fpam.22032_TL04,tonyli0409,url,TRUE,http://onlinelibrary.wiley.com
10.1002%2Fpam.22032_TL04,tonyli0409,software_name,FALSE,NA
10.1002%2Fpam.22032_TL04,tonyli0409,version_date,FALSE,NA
10.1002%2Fpam.22032_TL05,tonyli0409,software_was_used,FALSE,NA
10.1002%2Fpam.22032_TL05,tonyli0409,version_number,FALSE,NA
10.1002%2Fpam.22032_TL05,tonyli0409,creator,FALSE,NA
10.1002%2Fpam.22032_TL05,tonyli0409,url,TRUE,http://onlinelibrary.wiley.com
10.1002%2Fpam.22032_TL05,tonyli0409,software_name,FALSE,NA
10.1002%2Fpam.22032_TL05,tonyli0409,version_date,FALSE,NA
10.1002%2Fpam.22032_TL06,tonyli0409,creator,FALSE,NA
10.1002%2Fpam.22032_TL06,tonyli0409,version_number,FALSE,NA
10.1002%2Fpam.22032_TL06,tonyli0409,version_date,FALSE,NA
10.1002%2Fpam.22032_TL06,tonyli0409,url,TRUE,http://onlinelibrary.wiley.com
10.1002%2Fpam.22032_TL06,tonyli0409,software_was_used,FALSE,NA
10.1002%2Fpam.22032_TL06,tonyli0409,software_name,FALSE,NA
10.1002%2Fpam.22032_TL07,tonyli0409,software_was_used,FALSE,NA
10.1002%2Fpam.22032_TL07,tonyli0409,creator,FALSE,NA
10.1002%2Fpam.22032_TL07,tonyli0409,url,TRUE,http://onlinelibrary.wiley.com
10.1002%2Fpam.22032_TL07,tonyli0409,version_number,FALSE,NA
10.1002%2Fpam.22032_TL07,tonyli0409,software_name,FALSE,NA
10.1002%2Fpam.22032_TL07,tonyli0409,version_date,FALSE,NA
10.1002%2Fpam.22032_TL08,tonyli0409,creator,FALSE,NA
10.1002%2Fpam.22032_TL08,tonyli0409,version_date,FALSE,NA
10.1002%2Fpam.22032_TL08,tonyli0409,version_number,FALSE,NA
10.1002%2Fpam.22032_TL08,tonyli0409,software_was_used,FALSE,NA
10.1002%2Fpam.22032_TL08,tonyli0409,url,TRUE,http://onlinelibrary.wiley.com
10.1002%2Fpam.22032_TL08,tonyli0409,software_name,FALSE,NA
10.1002%2Fpam.22038_JWC01,jackchristen,version_number,FALSE,NA
10.1002%2Fpam.22038_JWC01,jackchristen,url,FALSE,NA
10.1002%2Fpam.22038_JWC01,jackchristen,software_name,FALSE,NA
10.1002%2Fpam.22038_JWC01,jackchristen,software_was_used,TRUE,NA
10.1002%2Fpam.22038_JWC01,jackchristen,version_date,FALSE,NA
10.1002%2Fpam.22038_JWC01,jackchristen,creator,TRUE,Ferman and Pinto
10.1002%2Fpam.22038_JWC02,jackchristen,software_was_used,TRUE,NA
10.1002%2Fpam.22038_JWC02,jackchristen,version_number,FALSE,NA
10.1002%2Fpam.22038_JWC02,jackchristen,software_name,FALSE,NA
10.1002%2Fpam.22038_JWC02,jackchristen,url,FALSE,NA
10.1002%2Fpam.22038_JWC02,jackchristen,creator,TRUE,Ferman-Pinto
10.1002%2Fpam.22038_JWC02,jackchristen,version_date,FALSE,NA
10.1002%2Fpam.22038_JWC03,jackchristen,version_date,FALSE,NA
10.1002%2Fpam.22038_JWC03,jackchristen,software_was_used,TRUE,NA
10.1002%2Fpam.22038_JWC03,jackchristen,software_name,FALSE,NA
10.1002%2Fpam.22038_JWC03,jackchristen,url,FALSE,NA
10.1002%2Fpam.22038_JWC03,jackchristen,version_number,FALSE,NA
10.1002%2Fpam.22038_JWC03,jackchristen,creator,TRUE,Ferman and Pinto
10.1002%2Fpam.22038_JWC04,jackchristen,creator,TRUE,NA
10.1002%2Fpam.22038_JWC04,jackchristen,software_was_used,FALSE,NA
10.1002%2Fpam.22038_JWC04,jackchristen,version_date,FALSE,NA
10.1002%2Fpam.22038_JWC04,jackchristen,software_name,FALSE,NA
10.1002%2Fpam.22038_JWC04,jackchristen,version_number,FALSE,NA
10.1002%2Fpam.22038_JWC04,jackchristen,url,TRUE,http://onlinelibrary.wiley.com
10.1002%2Fpam.22038_TL01,tonyli0409,version_date,FALSE,NA
10.1002%2Fpam.22038_TL01,tonyli0409,url,TRUE,http://onlinelibrary.wiley.com
10.1002%2Fpam.22038_TL01,tonyli0409,software_name,FALSE,NA
10.1002%2Fpam.22038_TL01,tonyli0409,software_was_used,FALSE,NA
10.1002%2Fpam.22038_TL01,tonyli0409,version_number,FALSE,NA
10.1002%2Fpam.22038_TL01,tonyli0409,creator,FALSE,NA
10.1002%2Fpam.22038_TL02,tonyli0409,version_date,FALSE,NA
10.1002%2Fpam.22038_TL02,tonyli0409,software_name,FALSE,NA
10.1002%2Fpam.22038_TL02,tonyli0409,url,TRUE,http://onlinelibrary.wiley.com
10.1002%2Fpam.22038_TL02,tonyli0409,software_was_used,FALSE,NA
10.1002%2Fpam.22038_TL02,tonyli0409,creator,FALSE,NA
10.1002%2Fpam.22038_TL02,tonyli0409,version_number,FALSE,NA
10.1002%2Fsoej.12244_TL01,tonyli0409,version_date,FALSE,NA
10.1002%2Fsoej.12244_TL01,tonyli0409,software_name,TRUE,ReadyReturn
10.1002%2Fsoej.12244_TL01,tonyli0409,software_was_used,FALSE,NA
10.1002%2Fsoej.12244_TL01,tonyli0409,url,FALSE,NA
10.1002%2Fsoej.12244_TL01,tonyli0409,version_number,FALSE,NA
10.1002%2Fsoej.12244_TL01,tonyli0409,creator,FALSE,NA
10.1002%2Fsoej.12244_TL02,tonyli0409,url,FALSE,NA
10.1002%2Fsoej.12244_TL02,tonyli0409,version_date,FALSE,NA
10.1002%2Fsoej.12244_TL02,tonyli0409,version_number,FALSE,NA
10.1002%2Fsoej.12244_TL02,tonyli0409,software_name,TRUE,CalFile
10.1002%2Fsoej.12244_TL02,tonyli0409,creator,FALSE,NA
