selection,coder,article,quote,page,mention_type,certainty,memo
PMC4331978_CM01,anneclarisse,PMC4331978,"Body weights, hematology, and clinical chemistry test re-sults were tested using SAS (version 9.2, SAS Institute Inc., U.S.A).",3,software,10,Google
PMC3296922_01,sonakshigarg23,PMC3296922,Retinol intakes were estimated using a CAN-pro 3.0 nutritional analysis program developed by the Korean Nutrition Society [18].,2,software,10,It is a nutrition analysis software
PMC4770866_JWC04,jackchristen,PMC4770866,The  mapped  reads were  annotated  by  the  ENSEMBL  gene  annotation  (GRCh37),9,software,6,looked it up
PMC3223056_MS17,mjsong1201,PMC3223056,"Using the softwareHAP(http://research.calit2.net/hap) to infer haplotypes forBnaA.FRI.aamong all accessions, two haplotype blocks were found withinthis gene. ",11,software,10,it says HAP is a software
PMC5406524_EK02,evelynkue,PMC5406524,"Raw data were basecalledusing Metrichor software (r7.X 2D Basecalling rev 1.12), andextracted using Poretools",3,software,10,Authors call it software.
PMC4666316_TZ16,realrichardparker,PMC4666316,"Video conferencing can also link local primary care professionals to specialists for assessments, enhancing the administration of standardized assessments and examinations.",4,software,5,mentions video conferencing
PMC4801132_JWC08,jackchristen,PMC4801132,"In  the  MetaboAnalyst  3.0,  the  pathway  analysis module combines the results from powerful pathway enrich-ment analysis with the pathway topology analysis to help us identify the most relevant pathways involved in the conditions under this study.",3,software,8,looked it up
PMC5265988_JWC04,jackchristen,PMC5265988,"Microsoft Excel and SPSS 16.0 (SPSS, Chicago, IL) were used toperform statistical analyses.",4,software,8,looked it up
PMC4675898_EK05,evelynkue,PMC4675898,The stomatal apertures (width divided by length) along three different epider-mal transects were measured using a Nikon Eclipse Ti (with Nikon Digital SightDS-Fi1c digital camera) and Nikon NIS Elements AR software,15,software,10,authors call it software
PMC3337072_MZ05,oceanwall,PMC3337072,Probe intensity data from Illumina Chip arrays were readinto the R software environment directly from Bead summaryfiles produced by BeadStudio using the R/beadarray pack-age.35,2,software,10,previously established that BeadStudio is a software
PMC3341159_MS08,mjsong1201,PMC3341159,Src activity was quantified from Western blot signals using the ImageJ free-ware to measure band intensity and normalize it to caveolin to adjust for loading.,7,software,10,ImageJ is an open source image processing program designed for scientific multidimensional images.
PMC2238715_EK07,evelynkue,PMC2238715,The bipartite graph (Rgraphsviz) package fromRwas used to displaythe correlation matrix derived from bile acid and fecal flora profiles toassess  the  probiotic-induced  changes  to  the  microbial-mammaliantransgenomic  interactions  (Figure  5).,13,software,10,I've seen R mentioned in other articles. I know it's software.
PMC3691378_PS02,ppseguel,PMC3691378,"The MPR function of the dedicated CBCT software allows coronal, sagittal, and oblique images to becreated from the original axial slices from which the vol-ume is built. ",2,software,10,"they mention that they used a software in the sentence, but didn't metioned the name"
PMC3223056_MS04,mjsong1201,PMC3223056,"Sequences were alignedusingVectorNTI 10.0(Invitrogen Corporation, Carlsbad, USA) orCLC main workbench 5(CLC bio, Aarhus, Denmark), andalignments were edited manually using theBioEditsoftware(http://www.mbio.ncsu.edu/bioedit/bioedit.html).",4,software,8,"a comprehensive analysis package for advanced DNA, RNA, and protein analyses, all wrapped in an intuitive graphical user-interface"
