reference,from_in_text_selection,article,quote,coder,page,reference_type
PMC3296922_01_CAN2002,PMC3296922_01,PMC3296922,The Korean Nutrition Society. Computer Aided Nutritional Analysis Program for Professionals. Seoul: The Korean Nutrition Society; 2002.,sonakshigarg23,6,Project_name
a2000-04-MOL_ECOL_Swofford_1981,a2000-04-MOL_ECOL_RA01,a2000-04-MOL_ECOL,"Swofford DL, Selander RB (1981) biosys-1: a Fortran program forthe comprehensive analyses of electrophoretic data in populationgenetics and systematics. Journal of Heredity, 72, 281– 283.",raghu-achukola,7,publication
a2000-04-MOL_ECOL_Swofford_1981,a2000-04-MOL_ECOL_RA01,a2000-04-MOL_ECOL,"Swofford DL, Selander RB (1981) biosys-1: a Fortran program forthe comprehensive analyses of electrophoretic data in populationgenetics and systematics. Journal of Heredity, 72, 281– 283.",shruthikrish,7,publication
a2000-04-MOL_ECOL_Swofford_1981,a2000-04-MOL_ECOL_RA01,a2000-04-MOL_ECOL,"Swofford DL, Selander RB (1981) biosys-1: a Fortran program forthe comprehensive analyses
    of electrophoretic data in populationgenetics and systematics. Journal of Heredity, 72, 281– 283.",raghu-achukola,7,publication
a2000-04-MOL_ECOL_Swofford_1981,a2000-04-MOL_ECOL_RA01,a2000-04-MOL_ECOL,"Swofford DL, Selander RB (1981) biosys-1: a Fortran program forthe comprehensive analyses
    of electrophoretic data in populationgenetics and systematics. Journal of Heredity, 72, 281– 283.",shruthikrish,7,publication
PMC4666316_TZ13_Barton_2011,PMC4666316_TZ16,PMC4666316,"Barton C, Morris R, Rothlind J, Yaffe K. Video-telemedicine in a memory disorders clinic: evaluation and management of rural elders with cognitive impairment. Telemed J E Health. 2011; 17(10):789–793. [PubMed: 22023458]",realrichardparker,13,publication
PMC4666316_TZ13_Martin-Khan_2012,PMC4666316_TZ16,PMC4666316,"Martin-Khan M, Flicker L, Wootton R, et al. The diagnostic accuracy of telegeriatrics for the diagnosis of dementia via video conferencing. J Am Med Dir Assoc. 2012; 13(5):487.e419–487.e424. [PubMed: 22572552]",realrichardparker,13,publication
PMC4801132_Xia01,PMC4801132_JWC08,PMC4801132,"Xia  JG,  Sinelnikov  IV,  Han  B,  Wishart  DS.  MetaboAnalyst  3.0-making metabolomics more meaningful. Nucleic Acids Res. 2015;43:W251–W257.",jackchristen,13,publication
PMC2935446_Prilusky-2005,PMC2935446_AN03,PMC2935446,"Prilusky,J. et al. (2005) FoldIndex: a simple tool to predict whether a given protein sequence is intrinsically unfolded. Bioinformatics, 21, 3435–3438.",ankimnguyen,8,publication
PMC5435914_Langmead-2009,PMC5435914_TL01,PMC5435914," Langmead,B., Trapnell,C., Pop,M. and Salzberg,S.L. (2009) Ultrafast
and memory-efficient alignment of short DNA sequences to the
human genome. Genome Biol., 10, R25.",tonyli0409,14,publication
PMC3329738_Rice01,PMC3329738_JWC06,PMC3329738,"Rice,  P.,  Longden,  I.,  and  Bleasby,A. (2000). EMBOSS: the EuropeanMolecular Biology Open SoftwareSuite.Trends Genet.16, 276–277.",jackchristen,10,publication
