"Code frequency and category
Sep 27, 17:50 ",,
Code name/text,Frequency,Category
IRAF,31,A
SExtractor,10,A
HIPE,7,B
GILDAS,5,A
BGM: Besançon Galaxy model,4,W
CASA,4,A
CIAO,4,A
DAOPHOT,4,A
DAOSPEC,4,GH
MOOG,4,A
MPFIT,4,A
Science Analysis Software (SAS),4,GS
XSPEC,4,A
ARES,3,A
BEC,3,N
ESO GIRAFFE pipeline,3,A
GARSTEC,3,GH
Gasgano,3,B
HEASoft,3,A
Libre-Esprit,3,N
MARCS,3,A
PHOEBE,3,A
pPXF,3,A
Reflex,3,B
Scanamorphos,3,A
SPICE,3,A
TOPCAT,3,A
BAGEMASS,2,A
BaSTI,2,W
Cloudy,2,A
CMFGEN,2,A
COMA,2,N
DOOp,2,A
ESO UVES-FIBRE pipeline,2,A
ESORex,2,A
GALFIT,2,B
GBART,2,A
GEM-FIND,2,N
HEALPix,2,A
LePhare,2,A
MESA,2,A
MGB,2,A
Minuit,2,A
MIRIAD,2,A
MUSE-DRP,2,A
PSFEx,2,A
Radex,2,A
SAOImage DS9,2,A
SWarp,2,A
TAME,2,B
TLUSTY,2,A
TMAP,2,GH
Turbospectrum,2,A
Voronoi binning code,2,A
VST-Tube,2,N
Wright Cosmology Calculator,2,W
4DAO,1,A
A2Z pipeline,1,N
ADIPLS pulsation code,1,A
AIPS,1,A
ALCHEMIC,1,A
Arcetri,1,W
ASTEC: Aarhus Stellar Evolution Code,1,A
AstPhot,1,N
AstromC,1,N
ATLAS9,1,A
ATM,1,N
aXe,1,A
BHCOAT,1,A
Bifrost,1,C
BJDTDB,1,A
BriGAde,1,N
BSMEM,1,A
BUDDA,1,B
CALDB,1,A
calrai,1,N
CASSIS high-resolution pipeline,1,A
CataXcorr,1,A
CausticApp,1,N
CESAM,1,GH
CHIANTI,1,A
CHORIZOS,1,A
Clean algorithm,1,N
CM1,1,N
code developed by Huang et al. (2011),1,N
CoRoT-N2 pipeline,1,A
CosmoCalc (NED online tool),1,W
COSSIM,1,N
CRIRES pipeline V1.7.0,1,O
CRT,1,B
custom IDL code described in Lohr et al. (2014b),1,N
CuTEx,1,A
DanDIA,1,A
DAOMATCH/DAOMASTER,1,B
DE-MCMC,1,A
Difmap,1,A
DiFX2,1,GH
downhill simplex (Press et al. 1992) minimisation algorithm,1,P1
DSPSR,1,A
Dust maps from Schlege / recalibration by Schlafly & Finkbeiner (2011),1,W
DustEM,1,A
Eazy,1,A
Eclipse,1,A
electron conductivity Potekhin (1999),1,A
ESO Common Pipeline Library FLAMES recipes,1,A
ESO HARPS pipeline,1,N
ESO ISAAC pipeline,1,A
ESO SkyCalc,1,W
ESO VIMOS pipeline,1,A
ESO WFI,1,A
ESO X-Shooter pipeline,1,A
ETOILE,1,N
ExAM,1,GH
EXOFAST,1,A
EZ,1,N
FakeRaT,1,B
FAMA,1,A
FARGO,1,A
FEKO,1,P2
FEROS pipeline,1,A
FITSB2,1,N
FITSFH,1,A
FITSIO,1,A
FitSKIRT,1,A
FORS pipeline,1,A
GADGET-2,1,A
GAIA,1,A
Galactic Extinction Calculator,1,W
GalactICS,1,A
GALAXEV,1,N
GalPak 3D,1,A
GalSim,1,A
GANDALF,1,A
GASOLINE,1,A
GEAR,1,N
GENEC,1,N
GMCA,1,A
GMM,1,A
GS,1,B
GYRE,1,A
HERACLES,1,A
HyperzMass,1,A
IACOB program,1,A
IDL curvefit routine,1,P2
IDL la_cosmic routine,1,P2
IDL procedure r_correlate,1,P2
IDSS-CLEAN,1,A
imcat,1,N
indexf,1,A
interpol_modeles code (MARCS website),1,A
InversionKit,1,A
IrOnIc,1,N
iSAP,1,A
ISIS,1,A
J-PLUS exposure time calculator,1,W
K-correction,1,A
k-means clustering,1,N
KADACS,1,N
kcorrect v4_2,1,A
Kolmogorov-Smirnov test (e.g. Press et al. 1992),1,P1
KOREL,1,W
lensR,1,N
LGMCA,1,A
LinePak,1,P2
LITpro,1,B
Lomb-Scargle algorithm (Press et al. 1992),1,P1
Lomb-Scargle algorithm,1,N
"Lomb-Scargle algorithm (NASA Exoplanet Archive service, Akeson et al. 2013)",1,W
Lomb-Scargle algorithm (Press et al. 2002),1,P1
Lomb-Scargle periodogram (Reinhold et al. 2013),1,N
LSDCat,1,A
MA28,1,GS
MACIM,1,A
MADEX,1,N
MagIC,1,A
MAGIX,1,A
MAGPHYS,1,N
MAMPOSSt,1,N
MC3D,1,GH
MCFOST,1,C
MCMax,1,GH
MELTS,1,GH
Mercury,1,A
MeshLab,1,A
Meudon,1,A
MGE-IDL,1,A
mhd_vode,1,A
MIA+EWS,1,A
MiRA,1,A
MOD: More Of Dusty,1,C
molecfit,1,A
MPI-AMRVAC,1,N
MSCRED,1,A
Muniwin,1,A
Nelder-Mead method,1,P1
NGRT,1,N
NICER,1,N
NIMA: Numerical Integration of the Motion of an Asteroid,1,N
NSCool,1,A
Numerical Orbit and Ephemerides (NOE) software,1,N
Offline Scientific Analysis software (OSA 10.0),1,A
Online SED fitter,1,A
ordinary differential equation solver from Netlib library dvodpk,1,A
OSIRIS pipeline,1,A
OSPEX,1,A
Owens,1,N
PACSman,1,A
Parameter Estimation,1,A
PARSEC,1,W
PEnGUIn,1,N
PHANTOM,1,A
Photcal,1,N
PixeLens,1,A
PLATEFIT,1,N
Platefit_VIMOS,1,N
PolGMCA algorithm,1,N
PRAIA,1,N
PREKOR,1,B
private idl scripts written by our team,1,N
private iraf scripts written by our team,1,N
ProDiMo,1,GH
PSPLINE,1,A
PyKE,1,A
PySynphot,1,A
RADMC-3D,1,A
RAM36,1,A
RAMSES,1,A
Ratran,1,A
