article,article_set,coder,no_selections_found,codable,standard_article,selection,quote,tei_quote,page,mention_type,certainty,memo,code,was_code_present,code_label
10.1002%2Fpam.22030,econ_article,slungu99,FALSE,TRUE,TRUE,10.1002%2Fpam.22030_SL01,Data come from the Integrated Public Use Microdata Series (IPUMS) database,Data come from the Integrated Public Use Microdata Series (IPUMS) database,5,software,10,"As per the IPUMS website, the database uses tabulation software.",software_was_used,TRUE,NA
10.1002%2Fpam.22030,econ_article,slungu99,FALSE,TRUE,TRUE,10.1002%2Fpam.22030_SL01,Data come from the Integrated Public Use Microdata Series (IPUMS) database,Data come from the Integrated Public Use Microdata Series (IPUMS) database,5,software,10,"As per the IPUMS website, the database uses tabulation software.",software_name,TRUE,IPUMS
10.1002%2Fpam.22030,econ_article,slungu99,FALSE,TRUE,TRUE,10.1002%2Fpam.22030_SL01,Data come from the Integrated Public Use Microdata Series (IPUMS) database,Data come from the Integrated Public Use Microdata Series (IPUMS) database,5,software,10,"As per the IPUMS website, the database uses tabulation software.",version_number,FALSE,NA
10.1002%2Fpam.22030,econ_article,slungu99,FALSE,TRUE,TRUE,10.1002%2Fpam.22030_SL01,Data come from the Integrated Public Use Microdata Series (IPUMS) database,Data come from the Integrated Public Use Microdata Series (IPUMS) database,5,software,10,"As per the IPUMS website, the database uses tabulation software.",version_date,FALSE,NA
10.1002%2Fpam.22030,econ_article,slungu99,FALSE,TRUE,TRUE,10.1002%2Fpam.22030_SL01,Data come from the Integrated Public Use Microdata Series (IPUMS) database,Data come from the Integrated Public Use Microdata Series (IPUMS) database,5,software,10,"As per the IPUMS website, the database uses tabulation software.",creator,FALSE,NA
10.1002%2Fpam.22030,econ_article,slungu99,FALSE,TRUE,TRUE,10.1002%2Fpam.22030_SL01,Data come from the Integrated Public Use Microdata Series (IPUMS) database,Data come from the Integrated Public Use Microdata Series (IPUMS) database,5,software,10,"As per the IPUMS website, the database uses tabulation software.",url,FALSE,NA
10.1007%2Fs10290-016-0264-y,econ_article,henryrossiter,FALSE,TRUE,TRUE,10.1007%2Fs10290-016-0264-y_HR01,"Source:Datastream, own calculations",NA,3,software,9,googled it,url,FALSE,NA
10.1007%2Fs10290-016-0264-y,econ_article,henryrossiter,FALSE,TRUE,TRUE,10.1007%2Fs10290-016-0264-y_HR01,"Source:Datastream, own calculations",NA,3,software,9,googled it,creator,FALSE,NA
10.1007%2Fs10290-016-0264-y,econ_article,henryrossiter,FALSE,TRUE,TRUE,10.1007%2Fs10290-016-0264-y_HR01,"Source:Datastream, own calculations",NA,3,software,9,googled it,version_number,FALSE,NA
10.1007%2Fs10290-016-0264-y,econ_article,henryrossiter,FALSE,TRUE,TRUE,10.1007%2Fs10290-016-0264-y_HR01,"Source:Datastream, own calculations",NA,3,software,9,googled it,software_name,TRUE,Datastream
10.1007%2Fs10290-016-0264-y,econ_article,henryrossiter,FALSE,TRUE,TRUE,10.1007%2Fs10290-016-0264-y_HR01,"Source:Datastream, own calculations",NA,3,software,9,googled it,version_date,FALSE,NA
10.1007%2Fs10290-016-0264-y,econ_article,henryrossiter,FALSE,TRUE,TRUE,10.1007%2Fs10290-016-0264-y_HR01,"Source:Datastream, own calculations",NA,3,software,9,googled it,software_was_used,TRUE,NA
10.1007%2Fs10290-016-0264-y,econ_article,henryrossiter,FALSE,TRUE,TRUE,10.1007%2Fs10290-016-0264-y_HR02,found in the Statistical Data Warehouse of the European Cen-tral Bank (2014).,NA,15,software,7,may be a database as opposed to software,version_date,FALSE,NA
10.1007%2Fs10290-016-0264-y,econ_article,henryrossiter,FALSE,TRUE,TRUE,10.1007%2Fs10290-016-0264-y_HR02,found in the Statistical Data Warehouse of the European Cen-tral Bank (2014).,NA,15,software,7,may be a database as opposed to software,creator,FALSE,NA
10.1007%2Fs10290-016-0264-y,econ_article,henryrossiter,FALSE,TRUE,TRUE,10.1007%2Fs10290-016-0264-y_HR02,found in the Statistical Data Warehouse of the European Cen-tral Bank (2014).,NA,15,software,7,may be a database as opposed to software,url,FALSE,NA
10.1007%2Fs10290-016-0264-y,econ_article,henryrossiter,FALSE,TRUE,TRUE,10.1007%2Fs10290-016-0264-y_HR02,found in the Statistical Data Warehouse of the European Cen-tral Bank (2014).,NA,15,software,7,may be a database as opposed to software,software_name,TRUE,Statistical Data Warehouse
10.1007%2Fs10290-016-0264-y,econ_article,henryrossiter,FALSE,TRUE,TRUE,10.1007%2Fs10290-016-0264-y_HR02,found in the Statistical Data Warehouse of the European Cen-tral Bank (2014).,NA,15,software,7,may be a database as opposed to software,version_number,FALSE,NA
10.1007%2Fs10290-016-0264-y,econ_article,henryrossiter,FALSE,TRUE,TRUE,10.1007%2Fs10290-016-0264-y_HR02,found in the Statistical Data Warehouse of the European Cen-tral Bank (2014).,NA,15,software,7,may be a database as opposed to software,software_was_used,TRUE,NA
10.1007%2Fs10290-016-0264-y,econ_article,henryrossiter,FALSE,TRUE,TRUE,10.1007%2Fs10290-016-0264-y_HR03,"The ratio of investment, government consumption and government debt overGDP are derived from Eurostat",NA,15,software,4,"not sure if they are refering to the eurostat database, website, or software",version_date,FALSE,NA
10.1007%2Fs10290-016-0264-y,econ_article,henryrossiter,FALSE,TRUE,TRUE,10.1007%2Fs10290-016-0264-y_HR03,"The ratio of investment, government consumption and government debt overGDP are derived from Eurostat",NA,15,software,4,"not sure if they are refering to the eurostat database, website, or software",version_number,FALSE,NA
10.1007%2Fs10290-016-0264-y,econ_article,henryrossiter,FALSE,TRUE,TRUE,10.1007%2Fs10290-016-0264-y_HR03,"The ratio of investment, government consumption and government debt overGDP are derived from Eurostat",NA,15,software,4,"not sure if they are refering to the eurostat database, website, or software",software_name,TRUE,Eurostat
10.1007%2Fs10290-016-0264-y,econ_article,henryrossiter,FALSE,TRUE,TRUE,10.1007%2Fs10290-016-0264-y_HR03,"The ratio of investment, government consumption and government debt overGDP are derived from Eurostat",NA,15,software,4,"not sure if they are refering to the eurostat database, website, or software",software_was_used,TRUE,NA
